,flavour,ingredients,ingredients_mapped
10,Mediterranean,"['oregano', 'lemon', 'olives', 'tuna', 'rosemary', 'bay', 'thyme', 'oil', 'lamb', 'garlic', 'cheese', 'tomatoes', 'onions', 'fish', 'cucumbers', 'yogurt', 'honey', 'parsley', 'dill', 'mint', 'almonds', 'walnuts', 'chickpeas', 'eggplant', 'zucchini', 'peppers', 'grapes', 'figs', 'wine', 'vinegar', 'dough', 'seeds', 'beef', 'pork', 'chicken', 'oranges', 'lemons', 'pomegranates', 'barley', 'wheat']","oregano, lemon, olive, tuna, rosemary, barley, thyme, oil, lamb, garlic, cheese, tomato, onion, fish, cucumber, yogurt, honey, parsley, dill, mint, almond, walnut, chickpea, eggplant, zucchini, pepper, grape, fig, wine, vinegar, doughnut, seed, beef, pork, chicken, orange, lemon, pomegranate, barley, wheat"
11,Mexican,"['cumin', 'powder', 'sauce', 'peppers', 'oregano', 'lime', 'garlic', 'onions', 'celery', 'cilantro', 'tomatoes', 'scallions', 'beans', 'spices', 'cheese', 'avocado', 'peppers', 'tortillas', 'cream', 'pork', 'beef', 'chicken', 'fish', 'tequila', 'maize', 'rice', 'chocolate', 'cinnamon', 'vanilla', 'anise', 'guava', 'pineapple', 'mango', 'papaya', 'coconut', 'tamarind', 'bay', 'cloves', 'saffron', 'almonds']","cumin, file_powder, hot_sauce, pepper, oregano, lime, garlic, onion, celery, cilantro, tomato, scallion, bean, spice, cheese, avocado, pepper, tortilla, cream, pork, beef, chicken, fish, tequila, mace, rice, chocolate, cinnamon, vanilla, anise, guava, pineapple, mango, papaya, coconut, tamari, barley, clove, saffron, almond"
12,Tex-Mex,"['cumin', 'powder', 'sauce', 'peppers', 'oregano', 'lime', 'garlic', 'onions', 'celery', 'cilantro', 'tomatoes', 'scallions', 'beans', 'spices', 'cheese', 'avocado', 'peppers', 'tortillas', 'cream', 'pork', 'beef', 'chicken', 'fish', 'tequila', 'maize', 'rice', 'chocolate', 'cinnamon', 'vanilla', 'anise', 'guava', 'pineapple', 'mango', 'papaya', 'coconut', 'tamarind', 'bay', 'cloves', 'saffron', 'almonds']","cumin, file_powder, hot_sauce, pepper, oregano, lime, garlic, onion, celery, cilantro, tomato, scallion, bean, spice, cheese, avocado, pepper, tortilla, cream, pork, beef, chicken, fish, tequila, mace, rice, chocolate, cinnamon, vanilla, anise, guava, pineapple, mango, papaya, coconut, tamari, barley, clove, saffron, almond"
13,Middle Eastern,"['dates', 'honey', 'seeds', 'mint', 'prunes', 'sumac', 'turmeric', 'cinnamon', 'olives', 'spice', 'parsley', 'nuts', 'pomegranates', 'pistachios', 'yogurt', 'saffron', 'chickpeas', 'garlic', 'onions', 'tomatoes', 'cucumber', 'eggplant', 'zucchini', 'peppers', 'lamb', 'beef', 'chicken', 'fish', 'breads', 'rice', 'lentils', 'beans', 'almonds', 'walnuts', 'cardamom', 'cloves', 'fenugreek', 'cumin', 'coriander', 'pepper']","date, honey, seed, mint, prune, sumac, turmeric, cinnamon, olive, spice, parsley, nut, pomegranate, pistachio, yogurt, saffron, chickpea, garlic, onion, tomato, cucumber, eggplant, zucchini, pepper, lamb, beef, chicken, fish, bread, rice, lentil, bean, almond, walnut, cardamom, clove, fenugreek_leaf, cumin, coriander, pepper"
14,Levantine,"['dates', 'honey', 'seeds', 'mint', 'prunes', 'sumac', 'turmeric', 'cinnamon', 'olives', 'spice', 'parsley', 'nuts', 'pomegranates', 'pistachios', 'yogurt', 'saffron', 'chickpeas', 'garlic', 'onions', 'tomatoes', 'cucumber', 'eggplant', 'zucchini', 'peppers', 'lamb', 'beef', 'chicken', 'fish', 'breads', 'rice', 'lentils', 'beans', 'almonds', 'walnuts', 'cardamom', 'cloves', 'fenugreek', 'cumin', 'coriander', 'pepper']","date, honey, seed, mint, prune, sumac, turmeric, cinnamon, olive, spice, parsley, nut, pomegranate, pistachio, yogurt, saffron, chickpea, garlic, onion, tomato, cucumber, eggplant, zucchini, pepper, lamb, beef, chicken, fish, bread, rice, lentil, bean, almond, walnut, cardamom, clove, fenugreek_leaf, cumin, coriander, pepper"
15,North African,"['mint', 'lemon', 'harissa', 'ras', 'saffron', 'turmeric', 'parsley', 'cilantro', 'honey', 'olives', 'almonds', 'dates', 'raisins', 'chickpeas', 'eggplant', 'peppers', 'carrots', 'lentils', 'onions', 'ginger', 'paprika', 'cumin', 'cayenne', 'figs', 'beef', 'chicken', 'lamb', 'fish', 'yogurt', 'couscous', 'barley', 'wheat', 'millet', 'water', 'garlic', 'tomatoes', 'peppers']","mint, lemon, harissa, roast, saffron, turmeric, parsley, cilantro, honey, olive, almond, date, craisins, chickpea, eggplant, pepper, carrot, lentil, onion, ginger, paprika, cumin, cayenne, fig, beef, chicken, lamb, fish, yogurt, couscous, barley, wheat, millet, water, garlic, tomato, pepper"
16,Moroccan,"['mint', 'lemon', 'harissa', 'ras', 'saffron', 'turmeric', 'parsley', 'cilantro', 'honey', 'olives', 'almonds', 'dates', 'raisins', 'chickpeas', 'eggplant', 'peppers', 'carrots', 'lentils', 'onions', 'ginger', 'paprika', 'cumin', 'cayenne', 'figs', 'beef', 'chicken', 'lamb', 'fish', 'yogurt', 'couscous', 'barley', 'wheat', 'millet', 'water', 'garlic', 'tomatoes', 'peppers']","mint, lemon, harissa, roast, saffron, turmeric, parsley, cilantro, honey, olive, almond, date, craisins, chickpea, eggplant, pepper, carrot, lentil, onion, ginger, paprika, cumin, cayenne, fig, beef, chicken, lamb, fish, yogurt, couscous, barley, wheat, millet, water, garlic, tomato, pepper"
17,Spanish,"['oil', 'saffron', 'paprika', 'chorizo', 'ham', 'vinegar', 'garlic', 'olives', 'anchovies', 'peppers', 'tomatoes', 'cheese', 'peppers', 'eggs', 'almonds', 'tuna', 'potatoes', 'cod', 'shrimp', 'mussels', 'clams', 'beef', 'pork', 'chicken', 'lamb', 'rabbit', 'squid', 'artichokes', 'onions', 'lemons', 'wine', 'vinegar', 'rice', 'bread', 'honey', 'cinnamon', 'vanilla', 'bay', 'thyme']","oil, saffron, paprika, soy_chorizo, ham, vinegar, garlic, olive, anchovy, pepper, tomato, cheese, pepper, egg, almond, tuna, potato, cod, shrimp, mussel, clam, beef, pork, chicken, lamb, rabbit, squid, artichoke, onion, lemon, wine, vinegar, rice, bread, honey, cinnamon, vanilla, barley, thyme"
18,West African,"['okra', 'peanuts', 'yams', 'peppers', 'tomatoes', 'onions', 'rice', 'cassava', 'plantain', 'peas', 'oil', 'ginger', 'millet', 'coriander', 'thyme', 'chicken', 'beef', 'fish', 'shrimp', 'goat', 'lamb', 'milk', 'garlic', 'spinach', 'kale', 'eggplant', 'peppers', 'peppers', 'nutmeg', 'cloves', 'cardamom', 'bay', 'cinnamon', 'seeds', 'tamarind', 'lime', 'mango', 'papaya', 'pineapple']","okra, peanut, yam, pepper, tomato, onion, rice, cassava, plantain, pea, oil, ginger, millet, coriander, thyme, chicken, beef, fish, shrimp, oat, lamb, milk, garlic, spinach, kale, eggplant, pepper, pepper, nutmeg, clove, cardamom, barley, cinnamon, seed, tamari, lime, mango, papaya, pineapple"
19,Central Asian,"['lamb', 'beef', 'horse', 'onions', 'garlic', 'carrots', 'cumin', 'coriander', 'dill', 'parsley', 'mint', 'yogurt', 'cream', 'tomatoes', 'cucumbers', 'peppers', 'chickpeas', 'lentils', 'rice', 'buckwheat', 'barley', 'noodles', 'breads', 'seeds', 'oil', 'paprika', 'turmeric', 'saffron', 'pepper', 'peppers', 'eggplant', 'potatoes', 'radishes', 'leeks', 'onions', 'pumpkin', 'watermelon', 'melon', 'fruits', 'nuts', 'honey']","lamb, beef, rose, onion, garlic, carrot, cumin, coriander, dill, parsley, mint, yogurt, cream, tomato, cucumber, pepper, chickpea, lentil, rice, buckwheat_flour, barley, noodle, bread, seed, oil, paprika, turmeric, saffron, pepper, pepper, eggplant, potato, radish, leek, onion, pumpkin, watermelon, melon, fruit, nut, honey"
20,South Asian,"['leaves', 'seeds', 'turmeric', 'cumin', 'coriander', 'powder', 'fenugreek', 'garam', 'cardamom', 'cinnamon', 'cloves', 'nutmeg', 'pepper', 'tamarind', 'coconut', 'jaggery', 'rice', 'lentils', 'chickpeas', 'garlic', 'ginger', 'onions', 'tomatoes', 'chilies', 'yogurt', 'paneer', 'chicken', 'lamb', 'beef']","lean_veal, seed, turmeric, cumin, coriander, file_powder, fenugreek_leaf, tarama, cardamom, cinnamon, clove, nutmeg, pepper, tamari, coconut, jaggery, rice, lentil, chickpea, garlic, ginger, onion, tomato, chilies, yogurt, panir, chicken, lamb, beef"
21,Healthy,"['quinoa', 'avocado', 'spinach', 'salmon', 'chickpeas', 'sweet potatoes', 'almonds', 'blueberries', 'olive oil', 'kale', 'yogurt', 'chia seeds', 'lentils', 'broccoli', 'turmeric']","quinoa, avocado, spinach, salmon, chickpea, sweet_potato, almond, blueberry, olive_oil, kale, yogurt, chia_seed, lentil, broccoli, turmeric"
22,Street Food,"['flatbread', 'tacos', 'chicken', 'falafel', 'salsa', 'hummus', 'pickles', 'chutney', 'slaw', 'sriracha', 'kimchi', 'brisket', 'noodles', 'corn', 'dough']","flat_bread, taco_sauce, chicken, ale, salsa, hummus, pickle, chutney, coleslaw, sriracha_sauce, kim_chee, beef_brisket, noodle, corn, doughnut"
23,Comfort Food,"['pasta', 'potatoes', 'beef', 'cheese', 'cream', 'butter', 'bacon', 'meatballs', 'broth', 'tomato', 'flour', 'eggs', 'nutmeg', 'bread', 'chocolate']","pasta, potato, beef, cheese, cream, butter, bacon, meatball, broth, tomato, flour, egg, nutmeg, bread, chocolate"
