,restaurant_id,menu_type,section,menu_item,description,price,dietary_prefences,source,image_name,ingredients,ingredients_mapped
20,laylak_toronto,,Cold Appetizers,Kibbeh Nayah,Minced beef bulgur mint onion chili cumin,26,,,,"['raw minced beef', 'bulgur wheat', 'fresh mint', 'onions', 'chili', 'cumin', 'salt']","minced_beef, bulgur_wheat, of_fresh_mint, onion, chili, cumin, salt"
21,laylak_toronto,,Cold Appetizers,Marinated Olives,Thyme garlic citrus,12,,,,"['green and black olives', 'thyme', 'garlic', 'citrus zest lemon or orange', 'olive oil']","brine_cured_black_olive, thyme, garlic, citrus zest lemon or orange, olive_oil"
22,laylak_toronto,,Cold Appetizers,Mixed Pickles,,12,,,,"['assorted pickled vegetables cucumbers', 'carrots', 'turnips', 'vinegar', 'salt', 'garlic', 'water']","assorted pickled vegetables cucumbers, carrot, turnip, vinegar, salt, garlic, water"
23,laylak_toronto,,Sides,Rice,,8,,,,['rice'],rice
24,laylak_toronto,,Sides,Fries,,8,,,,"['potatoes', 'vegetable oil', 'salt']","potato, vegetable_oil, salt"
25,laylak_toronto,,Sides,Pita,,1,,,,"['flour', 'water', 'yeast', 'salt']","flour, water, yeast, salt"
26,laylak_toronto,,Mains,Makdous Fatteh,Ground beef yogurt tahini pomegranate molasses stuffed eggplant,44,,,,"['ground beef', 'yogurt', 'tahini', 'pomegranate molasses', 'stuffed eggplants filled with walnuts', 'garlic']","ground_beef, yogurt, tahini, pomegranate_molasses, stuffed eggplants filled with walnuts, garlic"
27,laylak_toronto,,Mains,Freekeh with Beef Cheek,Smoked wheat beef cheek,68,,,,"['smoked freekeh green wheat', 'braised beef cheeks', 'onions', 'garlic', 'stock', 'spices cumin', 'cinnamon']","smoked freekeh green wheat, beef_cheek, onion, garlic, stock, spiced_rum, cinnamon"
28,laylak_toronto,,Mains,Grilled Half Chicken,Free range chicken house spice potato,44,,,,"['freerange chicken', 'house spice blend paprika', 'cumin', 'coriander', 'potatoes', 'olive oil']","free_range_chicken, house spice blend paprika, cumin, coriander, potato, olive_oil"
29,laylak_toronto,,Mains,Falafel,Chickpea cilantro tahini mixed greens,27,,,,"['ground chickpeas', 'cilantro', 'parsley', 'onions', 'garlic', 'cumin', 'coriander', 'tahini', 'salt', 'mixed greens']","ground_chicken, cilantro, parsley, onion, garlic, cumin, coriander, tahini, salt, mixed_green"
30,laylak_toronto,,Mains,Moghrabieh,16 oz Ontario lamb shank chickpea pearl onions au jus,53,,,,"['lamb shank', 'chickpeas', 'pearl onions', 'cinnamon', 'allspice', 'stock', 'moghrabieh large couscous']","lamb_shank, chickpea, red_pearl_onion, cinnamon, allspice, stock, moghrabieh large couscous"
31,laylak_toronto,,Mains,Orfali Kebab,Beef serrano house spice,27,,,,"['ground beef', 'serrano peppers', 'house spice blend cinnamon', 'allspice', 'black pepper']","ground_beef, serrano_pepper, house spice blend cinnamon, allspice, black_pepper"
32,laylak_toronto,,Mains,Kefta Kebab,Beef parsley house spice,27,,,,"['ground beef', 'parsley', 'house spice blend paprika', 'coriander', 'black pepper']","ground_beef, parsley, house spice blend paprika, coriander, black_pepper"
33,laylak_toronto,,Mains,Tenderloin,Beef tenderloin house spice,37,,,,"['beef tenderloin', 'house spice blend garlic powder', 'paprika', 'black pepper']","beef_tenderloin, house spice blend garlic powder, paprika, black_pepper"
34,laylak_toronto,,Mains,Chicken Tawouk,Toum house spice,32,,,,"['chicken breast', 'garlic sauce toum', 'house spice blend paprika', 'turmeric', 'cayenne']","chicken_breast, garlic_sauce, house spice blend paprika, turmeric, cayenne"
35,laylak_toronto,,Mains,Mixed Grill,Four skewers above with grilled vegetables and pita,77,,,,"['skewers of beef', 'chicken', 'lamb', 'vegetables zucchini', 'bell peppers', 'pita bread', 'olive oil']","skewers of beef, chicken, lamb, green_zucchini, bell_pepper, pita_bread, olive_oil"
36,laylak_toronto,,Mains,Grilled Tiger Shrimp,Hummus Beiruty fennel mint,35,,,,"['tiger shrimp', 'hummus beiruty chickpeas', 'tahini', 'lemon', 'fennel', 'mint', 'olive oil']","tiger_shrimp, hummus beiruty chickpeas, tahini, lemon, fennel, mint, olive_oil"
37,laylak_toronto,,Mains,Grilled Octopus,Lemon mixed micro herbs lemon,44,,,,"['octopus', 'olive oil', 'lemon juice', 'mixed micro herbs parsley', 'cilantro', 'garlic']","octopus, olive_oil, lemon_juice, mixed micro herbs parsley, cilantro, garlic"
38,laylak_toronto,,Mains,Branzino Harrah,Orfa chili pine nuts fennel,62,,,,"['whole branzino fish', 'orfa chili', 'pine nuts', 'fennel', 'lemon', 'olive oil']","whole branzino fish, chili, pine_nut, fennel, lemon, olive_oil"
39,hana_don_fairview,,Soup / Salad / Cold Dishes,Miso Soup,,3.5,,,,"['miso paste', 'dashi stock', 'tofu', 'seaweed', 'green onions']","onion_paste, dashi_stock, tofu, seed, green_onion"
40,hana_don_fairview,,Soup / Salad / Cold Dishes,Seaweed Salad,,6,,,,"['wakame seaweed', 'sesame seeds', 'sesame oil', 'rice vinegar', 'soy sauce', 'sugar', 'chili flakes']","wakame_seaweed, sesame_seed, sesame_oil, rice_vinegar, soy_sauce, sugar, chili_flake"
41,hana_don_fairview,,Soup / Salad / Cold Dishes,House Salad,Cabbage cucumber avocado tomato served w/ house dressing.,9,,,,"['cabbage', 'cucumber', 'avocado', 'tomato', 'house dressing soy sauce', 'sesame oil', 'rice vinegar', 'sugar']","cabbage, cucumber, avocado, tomato, house dressing soy sauce, sesame_oil, rice_vinegar, sugar"
42,hana_don_fairview,,Soup / Salad / Cold Dishes,Takowasa,Seasoned cooked octopus w/ wasabi,9,,,,"['cooked octopus', 'wasabi paste', 'soy sauce', 'mirin', 'green onions']","cooked_couscous, wasabi_paste, soy_sauce, mirin, green_onion"
43,hana_don_fairview,,Soup / Salad / Cold Dishes,Pickled Baby Octopus,,9,,,,"['baby octopus', 'rice vinegar', 'sugar', 'soy sauce', 'ginger']","baby_octopus, rice_vinegar, sugar, soy_sauce, ginger"
44,hana_don_fairview,,Soup / Salad / Cold Dishes,Tsubu Kimchee,Top shell w/ kimchee sauce,9,,,,"['top shell whelk', 'kimchee sauce chili', 'garlic', 'ginger', 'fish sauce']","top shell whelk, kimchee sauce chili, garlic, ginger, fish_sauce"
45,hana_don_fairview,,Soup / Salad / Cold Dishes,Smoked Yuzu Mackerel,Smoked Mackerel w/ ponzu yuzu soy & green onion,13,,,,"['smoked mackerel', 'ponzu sauce soy sauce', 'citrus juice', 'yuzu', 'green onions']","smoked_mackerel, ponzu_sauce, citrus_juice, yuzu, green_onion"
46,hana_don_fairview,,Soup / Salad / Cold Dishes,Yuzu Ankimo,Monkfish liver w/ ponzu sauce,12,,,,"['monkfish liver', 'ponzu sauce', 'yuzu', 'green onions']","monkfish_fillet, ponzu_sauce, yuzu, green_onion"
47,hana_don_fairview,,Soup / Salad / Cold Dishes,Salmon Salsa,Seared salmon & mango salsa served w/ Thai spicy sauce,15,,,,"['seared salmon', 'mango', 'salsa tomato', 'onion', 'cilantro', 'lime juice', 'thai spicy sauce fish sauce', 'lime', 'chili']","red_salmon, mango, italian_tomato, onion, cilantro, lime_juice, thai_fish_sauce, lime, chili"
48,hana_don_fairview,,Soup / Salad / Cold Dishes,Yellowtail Jalapeno w/ Yuzu Sauce & Olive Oil (4pcs),,18,,,,"['yellowtail', 'jalapeno', 'yuzu', 'olive oil', 'salt']","yellow_lentil, jalapeno, yuzu, olive_oil, salt"
49,hana_don_fairview,,Dessert,Soft Ice-Cream,"Matcha, Vanilla, Mixed","$5, $6, $6.5",,,,"['milk', 'sugar', 'cream']","milk, sugar, cream"
50,hana_don_fairview,,Dessert,Matcha Cheesecake,,8,,,,"['cream cheese', 'matcha', 'sugar', 'eggs']","cream_cheese, maca, sugar, egg"
51,hana_don_fairview,,Dessert,Hana Signature Parfait,,9,,,,"['cream', 'sugar', 'milk', 'matcha']","cream, sugar, milk, maca"
52,hana_don_fairview,,Hot Dishes,Edamame (Soybean w/ salt),,6,,,,"['soybean', 'salt']","soybean, salt"
53,hana_don_fairview,,Hot Dishes,Gyoza (Japanese pan-fried pork dumplings) (5pcs),,9,,,,"['pork', 'cabbage', 'garlic', 'ginger', 'soy sauce', 'gyoza wrappers']","pork, cabbage, garlic, ginger, soy_sauce, gyoza wrappers"
54,hana_don_fairview,,Hot Dishes,Takoyaki (Grilled octopus balls)(4pcs),,8,,,,"['octopus', 'takoyaki batter', 'bonito flakes', 'mayo', 'takoyaki sauce', 'green onions']","octopus, pancake_batter, bonito_flake, mango, teriyaki_sauce, green_onion"
55,hana_don_fairview,,Hot Dishes,Chicken Karaage (Japanese fried chicken),,9,,,,"['chicken thighs', 'soy sauce', 'ginger', 'garlic', 'potato starch', 'vegetable oil']","chicken_thigh, soy_sauce, ginger, garlic, potato_starch, vegetable_oil"
56,hana_don_fairview,,Hot Dishes,Deep-Fried Calamari,served w/ Thai spicy mango sauce,9,,,,"['squid', 'flour', 'salt', 'thai spicy mango sauce mango', 'chili', 'lime']","squid, flour, salt, thai spicy mango sauce mango, chili, lime"
57,hana_don_fairview,,Hot Dishes,Assorted Veggies Tempura (6pcs),,12,,,,"['assorted vegetables eg', 'sweet potato', 'zucchini', 'tempura batter', 'dashi']","assorted_fresh_vegetable, sweet_potato, zucchini, tempura_batter, dashi"
58,hana_don_fairview,,Hot Dishes,Mixed Tempura (Shrimp 2pcs & Veggies 4pcs),,15,,,,"['shrimp', 'assorted vegetables', 'tempura batter', 'dashi']","shrimp, assorted_fresh_vegetable, tempura_batter, dashi"
59,hana_don_fairview,,Hot Dishes,Deep-Fried Fresh Oyster w/ house spicy mayo (4pcs),,13,,,,"['fresh oysters', 'flour', 'egg', 'breadcrumbs', 'spicy mayo mayo', 'chili sauce']","fresh_horseradish, flour, egg, breadcrumb, spicy mayo mayo, chili_sauce"
60,hana_don_fairview,,Hot Dishes,Ikayaki (Grilled whole squid w/ sweet soy),,18,,,,"['whole squid', 'soy sauce', 'mirin', 'sugar', 'sake']","squid, soy_sauce, mirin, sugar, sake"
61,hana_don_fairview,,Hot Dishes,Seafood Stir-Fried Udon,,18,,,,"['udon noodles', 'shrimp', 'scallops', 'squid', 'soy sauce', 'sesame oil', 'garlic', 'vegetables']","udon_noodle, shrimp, scallop, squid, soy_sauce, sesame_oil, garlic, vegetable"
62,hana_don_fairview,,Hot Dishes,Grilled Black Cod w/ Saikyo Sauce,,18,,,,"['black cod', 'saikyo miso', 'mirin', 'sake']","black_coffee, shiro_miso, mirin, sake"
63,hana_don_fairview,,Hot Dishes,Tempura Udon Soup (Shrimp 2pcs & Veggies 4pcs),,21,,,,"['udon noodles', 'tempura shrimp and veggies', 'dashi stock', 'soy sauce', 'mirin']","udon_noodle, tempura shrimp and veggies, dashi_stock, soy_sauce, mirin"
64,hana_don_fairview,,Signature Don,Aburi Don,seared salmon scallop white fish and fish-egg on premium sushi rice,25,,,,"['seared salmon', 'scallops', 'white fish', 'fish eggs', 'sushi rice']","red_salmon, scallop, white_radish, fish, sushi_rice"
65,hana_don_fairview,,Signature Don,Tsukiji Don,salmon scallop white fish yellowtail squid & fish-egg on premium sushi rice,29,,,,"['salmon', 'scallops', 'white fish', 'yellowtail', 'squid', 'fish eggs', 'sushi rice']","salmon, scallop, white_radish, yellow_lentil, squid, fish, sushi_rice"
66,hana_don_fairview,,Signature Don,Hokkaido Don,Uni ikura Hokkaido scallop shiitake on premium sushi rice,39,,,,"['uni sea urchin', 'ikura salmon roe', 'hokkaido scallops', 'shiitake mushrooms', 'sushi rice']","uni sea urchin, salmon_roe, dried_scallop, shiitake_mushroom, sushi_rice"
67,hana_don_fairview,,Signature Don,Nagoya Don,Chopped toro and seared salmon on premium sushi rice,26,,,,"['chopped toro fatty tuna', 'seared salmon', 'sushi rice']","chopped toro fatty tuna, red_salmon, sushi_rice"
68,hana_don_fairview,,Signature Don,Toyosu Don,Sweet shrimps salmon white fish scallop & Ikura on premium sushi rice,32,,,,"['sweet shrimp', 'salmon', 'white fish', 'scallops', 'ikura', 'sushi rice']","shrimp, salmon, white_radish, scallop, kumara, sushi_rice"
69,hana_don_fairview,,Signature Don,Yuzu Seafood Don,Tuna salmon squid & quail egg w/ special yuzu wasabi soya sauce on premium sushi rice,25,,,,"['tuna', 'salmon', 'squid', 'quail egg', 'yuzu', 'wasabi soy sauce', 'sushi rice']","tuna, salmon, squid, quail_egg, yuzu, tamari_soy_sauce, sushi_rice"
70,hana_don_fairview,,Premium Don,Kyoto Don,Assorted premium seafood (13pcs) & tamago on premium sushi rice,39,,,,"['rice', 'assorted seafood', 'tamago']","rice, seafood, mango"
71,hana_don_fairview,,Premium Don,Large Premium Hana Don,Assortment of Hana’s finest seasonal seafood w/ whole abalone on premium sushi rice,39,,,,"['rice', 'assorted seafood', 'abalone']","rice, seafood, abalone"
72,hana_don_fairview,,Premium Don,Premium Bara Don,O-toro uni botan Ebi Hokkaido sea-scallop squid octopus amberjack sea bream ikura salmon cucumber and tamago on premium sushi rice,45,,,,"['rice', 'otoro', 'uni', 'botan ebi', 'sea scallop', 'squid', 'octopus', 'amberjack', 'sea bream', 'ikura', 'salmon', 'cucumber', 'tamago']","rice, trout, bun, botan ebi, sea_scallop, squid, octopus, lamb_rack, sea_bream, kumara, salmon, cucumber, mango"
73,hana_don_fairview,,Premium Don,Large Premium Fuji Don,Assortment of Hana’s finest seasonal seafood w/ whole Saltwater Eel on premium sushi rice,39,,,,"['rice', 'assorted seafood', 'saltwater eel']","rice, seafood, salt_water"
74,hana_don_fairview,,Premium Don,Trio Toro Don,O-toro (fatty tuna) chu toro (medium-fat tuna) chopped toro & caviar on premium sushi rice,55,,,,"['rice', 'otoro', 'chu toro', 'chopped toro', 'caviar']","rice, trout, culantro, chopped_tomato, caviar"
75,hana_don_fairview,,Premium Don,U & I Don,Local sea urchin & Ikura on premium sushi rice. Serve w/ seaweed and cucumber.,68,,,,"['rice', 'sea urchin', 'ikura', 'seaweed', 'cucumber']","rice, spearmint, kumara, seed, cucumber"
76,hana_don_fairview,,Custom Don,Salmon (3 pcs),,9,,,,['salmon'],salmon
77,hana_don_fairview,,Custom Don,Chopped Salmon w/ Scallion,,7,,,,"['salmon', 'scallion']","salmon, scallion"
78,hana_don_fairview,,Custom Don,Tobiko (Flying Fish Roe),,6,,,,['tobiko'],tobiko
79,hana_don_fairview,,Custom Don,Squid,,7,,,,['squid'],squid
80,hana_don_fairview,,Custom Don,Hokkaido Sea Scallop (3 pcs),,12,,,,['scallop'],scallop
81,hana_don_fairview,,Custom Don,Hamachi (Yellowtail) (3 pcs),,16,,,,['yellowtail'],yellow_lentil
82,hana_don_fairview,,Custom Don,Salmon (3 pcs),,9,,,,['salmon'],salmon
83,hana_don_fairview,,Custom Don,Chopped Salmon w/ Scallion,,7,,,,"['salmon', 'scallion']","salmon, scallion"
84,hana_don_fairview,,Custom Don,Tobiko (Flying Fish Roe),,6,,,,['tobiko'],tobiko
85,hana_don_fairview,,Custom Don,Squid,,7,,,,['squid'],squid
86,hana_don_fairview,,Custom Don,Hokkaido Sea Scallop (3 pcs),,12,,,,['scallop'],scallop
87,hana_don_fairview,,Custom Don,Hamachi (Yellowtail) (3 pcs),,16,,,,['yellowtail'],yellow_lentil
88,hana_don_fairview,,Custom Don,Freshwater Eel (3 pcs),,9,,,,['eel'],eel
89,hana_don_fairview,,Custom Don,Saltwater Eel (Conger) (whole pc),,15,,,,['eel'],eel
90,hana_don_fairview,,Custom Don,White Fish (3 pcs),,15,,,,['white fish'],white_radish
91,hana_don_fairview,,Custom Don,Octopus (3 pcs),,9,,,,['octopus'],octopus
92,hana_don_fairview,,Custom Don,Ikura (Salmon Roe),,15,,,,['ikura'],kumara
93,hana_don_fairview,,Custom Don,Seared Salmon (3 pcs),,9,,,,['salmon'],salmon
94,hana_don_fairview,,Custom Don,Japanese Sea Bream (3 pcs),,16,,,,['sea bream'],sea_bream
95,hana_don_fairview,,Custom Don,Herring Roe (3 pcs),,12,,,,['herring roe'],herring_fillet
96,hana_don_fairview,,Custom Don,Katsuo(Bonito) (3 pcs),,12,,,,['bonito'],bisto
97,hana_don_fairview,,Custom Don,Arctic Surf Clam (3 pcs),,7,,,,['surf clam'],sour_cream
98,hana_don_fairview,,Custom Don,Chopped Toro (Fatty Tuna),,12,,,,['toro'],trout
99,hana_don_fairview,,Custom Don,Botan Ebi (Shrimp) (2 pcs),,9,,,,['shrimp'],shrimp
100,hana_don_fairview,,Custom Don,Lean Tuna (3 pcs),,15,,,,['tuna'],tuna
101,hana_don_fairview,,Custom Don,Shredded Crab Meat,,9,,,,['crab'],crab
102,hana_don_fairview,,Custom Don,Japanese-Style Boiled Abalone,,12,,,,['abalone'],abalone
103,hana_don_fairview,,Custom Don,Sea Urchin,,18,,,,['uni'],bun
104,hana_don_fairview,,Custom Don,Otoro (Bluefin Tuna Belly) (2 pcs),,20,,,,['otoro'],trout
105,hana_don_fairview,,Custom Don,Cucumber,,4,,,,['cucumber'],cucumber
106,hana_don_fairview,,Custom Don,Avocado,,5,,,,['avocado'],avocado
107,hana_don_fairview,,Custom Don,Okra,,4,,,,['okra'],okra
108,hana_don_fairview,,Custom Don,Shiitake,,4,,,,['shiitake'],shortcake
109,hana_don_fairview,,Custom Don,Tamago (3 pcs),,5,,,,['egg'],egg
110,hana_don_fairview,,TEISHOKu SET,Chicken Katsu Set,w/ Rice Miso Soup Cabbage Salad & Mashed Potatoes.,20,,,,"['chicken', 'egg', 'breadcrumbs', 'soy sauce']","chicken, egg, breadcrumb, soy_sauce"
111,hana_don_fairview,,TEISHOKu SET,Sangenton Tonkatsu Set,deep-fried Japanese pork loin served w/ house katsu sauce.,22,,,,"['pork', 'egg', 'breadcrumbs', 'soy sauce']","pork, egg, breadcrumb, soy_sauce"
112,hana_don_fairview,,Teriyaki Bento,Chicken Teriyaki Bento,served with California Roll Rice Miso Soup Cabbage Salad.,21,,,,"['chicken', 'soy sauce', 'sugar', 'ginger']","chicken, soy_sauce, sugar, ginger"
113,hana_don_fairview,,Teriyaki Bento,Salmon Teriyaki Bento,served with California Roll Rice Miso Soup Cabbage Salad.,23,,,,"['salmon', 'soy sauce', 'sugar', 'ginger']","salmon, soy_sauce, sugar, ginger"
114,hana_don_fairview,,Special Rolls & Seared Boxed Sushi,Blue Classic Roll (8pcs),Deep-fried shrimp and cucumber topped w/ chopped toro avocado and tobiko served w/ spicy mayo and basil miso sauce.,18,,,,"['shrimp tempura', 'cucumber', 'chopped toro', 'avocado', 'tobiko', 'spicy mayo', 'basil miso sauce']","shrimp_paste, cucumber, chopped_tomato, avocado, tobiko, spicy_mustard, tamari_soy_sauce"
115,hana_don_fairview,,Special Rolls & Seared Boxed Sushi,Cajun Salmon Roll (8pcs),Kani cucumber mango avocado inside topped w/ seared cajun salmon & fried shallot served w/ cajun honey mustard sauce.,18,,,,"['kani', 'cucumber', 'mango', 'avocado', 'seared cajun salmon', 'fried shallots', 'cajun honey mustard sauce']","anise, cucumber, mango, avocado, salted_salmon, fried_shallot, honey_mustard"
116,hana_don_fairview,,Special Rolls & Seared Boxed Sushi,Black Dragon Roll (8pcs),Deep-fried shrimp avocado & cucumber topped w/ eel & avocado served w/ eel sauce.,18,,,,"['shrimp tempura', 'avocado', 'cucumber', 'eel', 'eel sauce']","shrimp_paste, avocado, cucumber, eel, bechamel_sauce"
117,hana_don_fairview,,Special Rolls & Seared Boxed Sushi,Gold Dragon Roll (8pcs),Shrimp tempura avocado & cucumber topped w/ salmon served w/ spicy mango sauce.,18,,,,"['shrimp tempura', 'avocado', 'cucumber', 'salmon', 'spicy mango sauce']","shrimp_paste, avocado, cucumber, salmon, spicy_tomato_sauce"
118,hana_don_fairview,,Special Rolls & Seared Boxed Sushi,Passion Roll (8pcs),Avocado cucumber crunch & cheese topped w/ real crab meat served w/ spicy mango sauce.,18,,,,"['avocado', 'cucumber', 'cheese', 'crab meat', 'spicy mango sauce']","avocado, cucumber, cheese, crabmeat, spicy_tomato_sauce"
119,hana_don_fairview,,Special Rolls & Seared Boxed Sushi,Momo Box Sushi (8 pcs),salmon & avocado topped w/ mango salsa,18,,,,"['salmon', 'avocado', 'mango salsa']","salmon, avocado, mango_salsa"
120,hana_don_fairview,,Special Rolls & Seared Boxed Sushi,Crazy Oyster Roll (8pcs),Deep-fried oyster cucumber avocado inside topped w/ seared cheese uni sauce & tobiko served w/ eel sauce.,18,,,,"['deepfried oyster', 'cucumber', 'avocado', 'seared cheese', 'uni sauce', 'tobiko', 'eel sauce']","deepfried oyster, cucumber, avocado, hard_cheese, tahini_sauce, tobiko, bechamel_sauce"
121,hana_don_fairview,,Sushi Rolls/Hand Rolls,California Roll,Kani Cucumber Avocado Fish egg,8,,,,"['kani', 'cucumber', 'avocado', 'tobiko']","anise, cucumber, avocado, tobiko"
122,hana_don_fairview,,Sushi Rolls/Hand Rolls,Spider Roll,soft shell crab avocado cucumber fish egg,15,,,,"['soft shell crab', 'avocado', 'cucumber', 'tobiko']","soft_shelled_crab, avocado, cucumber, tobiko"
123,hana_don_fairview,,Sushi Rolls/Hand Rolls,Alaska Roll,Salmon Avocado Cucumber,9,,,,"['salmon', 'avocado', 'cucumber']","salmon, avocado, cucumber"
124,hana_don_fairview,,Sushi Rolls/Hand Rolls,Spicy Tuna Roll,Bluefin Tuna,14,,,,"['bluefin tuna', 'spicy mayo']","bluefish, spicy_mustard"
125,hana_don_fairview,,Sushi Rolls/Hand Rolls,Spicy Salmon Roll,,10,,,,"['salmon', 'spicy mayo']","salmon, spicy_mustard"
126,hana_don_fairview,,Sushi Rolls/Hand Rolls,Spicy Scallop Roll,,12,,,,"['scallops', 'spicy mayo']","scallop, spicy_mustard"
127,hana_don_fairview,,Sushi Rolls/Hand Rolls,Negi Toro Roll,Bluefin Tuna,12,,,,"['bluefin tuna', 'scallions']","bluefish, scallion"
128,hana_don_fairview,,Sushi Rolls/Hand Rolls,Salmon Roll,,9,,,,['salmon'],salmon
